Type,EvidenceCode,Description
Experimental,EXP,Inferred from Experiment
,IDA,Inferred from Direct Assay
,IPI,Inferred from Physical Interaction
,IMP,Inferred from Mutant Phenotype
,IGI,Inferred from Genetic Interaction
,IEP,Inferred from Expression Pattern
Computational Analysis,ISS,Inferred from Sequence or structural Similarity
,ISO,Inferred from Sequence Orthology
,ISA,Inferred from Sequence Alignment
,ISM,Inferred from Sequence Model
,IGC,Inferred from Genomic Context
,IBA,Inferred from Biological aspect of Ancestor
,IBD,Inferred from Biological aspect of Descendant
,IKR,Inferred from Key Residues
,IRD,Inferred from Rapid Divergence
,RCA,Inferred from Reviewed Computational Analysis
Author statement,TAS,Traceable Author Statement
,NAS*,Non-traceable Author Statement
Curatorial Statement,IC,Inferred by Curator
,ND*,No biological Data available
Automatically-Assigned,IEA*,Inferred from Electronic Annotation
